AC_TYPEID,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
865,DOUGLAS DC-8-73F,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-73F,DC-8-73F,01-01-90,9999
866,BAE-146-100/RJ70,BRITISH AEROSPACE,BRITISH AEROSPACE BAE-146-100/RJ70,BAE146-1,01-01-90,9999
867,BAE-146-200,BRITISH AEROSPACE,BRITISH AEROSPACE BAE-146-200,BAE146-2,01-01-90,9999
868,BAE-146-300,BRITISH AEROSPACE,BRITISH AEROSPACE BAE-146-300,BAE146-3,01-01-90,9999
870,LOCKHEED JETSTAR,LOCKHEED,LOCKHEED JETSTAR,JETSTAR,01-01-90,9999
871,A340-300,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-300,A340-3,01-09-96,9999
872,A340-500,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-500,A340-5,01-09-96,9999
873,A340-200,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-200,A340-2,01-09-96,9999
874,A340-600,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-600,A340-6,01-09-96,9999
875,CONCORDE,AEROSPATIALE/BRITISH AEROSPACE,AEROSPATIALE/BRITISH AEROSPACE CONCORDE,CONCORDE,01-01-90,9999
876,ILYUSHIN 62,ILYUSHIN,ILYUSHIN 62,IL-62,01-01-90,9999
877,ILYUSHIN 76/TD,ILYUSHIN,ILYUSHIN 76/TD,IL-76/TD,01-01-90,9999
878,ILYUSHIN 86,ILYUSHIN,ILYUSHIN 86,IL-86,01-01-90,9999
879,ILYUSHIN 96,ILYUSHIN,ILYUSHIN 96,IL-96,01-03-93,9999
880,ANTONOV 124,ANTONOV,ANTONOV 124,AN-124,01-01-90,9999
881,IL-96-40T,ILYUSHIN,ILYUSHIIN IL-96-400T,IL-96-4T,01-01-13,9999
882,A380-800,AIRBUS INDUSTRIE,AIRBUS INDUSTRAI A380-800,A380-8,01-07-08,9999
887,B787-8 DREAMLINER,BOEING,B787-800 DREAMLINER,B787-8,01-01-12,9999
888,B737-900ER,BOEING,BOEING 737-900ER,B737-9ER,01-01-12,9999
889,B787-9 DREAMLINER,BOEING,B787-900 DREAMLINER,B787-9,01-01-12,9999
890,ANTONOV 225,ANTONOV,ANTONOV 225 (6 ENGINE),AN-225,01-01-90,9999
